"cov_measure","p","graph","distribution","rep","norm_Omega","norm_Sigma","FP","FN"
"covNPDmat",120,"omega_sparse","rmvnorm",1,11.4802732420788,7.25944132368796,0.0579506404248672,0.429824561403509
"covNPDmat",120,"omega_sparse","rmvnorm",2,11.2612308653213,7.27599774890616,0.0524835988753515,0.429824561403509
"covNPDmat",120,"omega_sparse","rmvnorm",3,11.4523224173918,6.50597359460727,0.0595126522961575,0.424812030075188
"covNPDmat",120,"omega_sparse","rmvnorm",4,11.3462895181388,7.69217328621879,0.0545142143080287,0.423558897243108
"covNPDmat",120,"omega_sparse","rmvnorm",5,11.0996792810826,6.35556207696583,0.0559200249921899,0.449874686716792
"covNPDmat",120,"omega_sparse","rmvnorm",6,11.0851313714995,6.01414286076851,0.0559200249921899,0.431077694235589
"covNPDmat",120,"omega_sparse","rmvnorm",7,11.2074926402677,6.9511912716695,0.0554514214308029,0.433583959899749
"covNPDmat",120,"omega_sparse","rmvnorm",8,11.2794128940861,5.81220908523334,0.056544829740706,0.453634085213033
"covNPDmat",120,"omega_sparse","rmvnorm",9,10.933116346564,7.33293019886905,0.056388628553577,0.43483709273183
"covNPDmat",120,"omega_sparse","rmvnorm",10,11.1271638429378,6.54833735784942,0.0518587941268354,0.408521303258145
"covNPDmat",120,"omega_sparse","rmvnorm",11,10.8779536969685,6.87066125837565,0.0623242736644799,0.423558897243108
"covNPDmat",120,"omega_sparse","rmvnorm",12,11.1559505599102,8.64564629897765,0.0506091846298032,0.452380952380952
"covNPDmat",120,"omega_sparse","rmvnorm",13,11.0977899034316,7.84582499834888,0.0537332083723836,0.43609022556391
"covNPDmat",120,"omega_sparse","rmvnorm",14,11.0904899963642,7.69275938683079,0.0571696344892221,0.43609022556391
"covNPDmat",120,"omega_sparse","rmvnorm",15,10.9999743928066,6.90217187536099,0.063573883161512,0.422305764411028
"covNPDmat",120,"omega_sparse","rmvnorm",16,11.1685556205958,5.51720061217694,0.0551390190565448,0.448621553884712
"covNPDmat",120,"omega_sparse","rmvnorm",17,11.0295624368156,5.94745196595266,0.0599812558575445,0.452380952380952
"covNPDmat",120,"omega_sparse","rmvnorm",18,10.8200615636489,7.73391538995596,0.0510777881911903,0.444862155388471
"covNPDmat",120,"omega_sparse","rmvnorm",19,11.1915754294049,5.72659073589565,0.0584192439862543,0.442355889724311
"covNPDmat",120,"omega_sparse","rmvnorm",20,11.0231695583891,5.67199732488886,0.0601374570446735,0.433583959899749
"covNPDmat",120,"omega_sparse","rmvnorm",21,10.9523825217819,5.9112331351425,0.0601374570446735,0.447368421052632
"covNPDmat",120,"omega_sparse","rmvnorm",22,10.8105131915551,5.62477304333632,0.0546704154951578,0.443609022556391
"covNPDmat",120,"omega_sparse","rmvnorm",23,10.7797358104285,6.02877906872899,0.0556076226179319,0.406015037593985
"covNPDmat",120,"omega_sparse","rmvnorm",24,11.1091205723437,8.20628793390158,0.0484223680099969,0.454887218045113
"covNPDmat",120,"omega_sparse","rmvnorm",25,10.7674047219439,6.60913357340774,0.0587316463605123,0.414786967418546
"covNPDmat",120,"omega_sparse","rmvnorm",26,11.1123810621402,8.03170057277412,0.0524835988753515,0.43859649122807
"covNPDmat",120,"omega_sparse","rmvnorm",27,11.1018695184765,6.23092687752731,0.0601374570446735,0.412280701754386
"covNPDmat",120,"omega_sparse","rmvnorm",28,10.9067317312381,7.83155535135227,0.056544829740706,0.404761904761905
"covNPDmat",120,"omega_sparse","rmvnorm",29,10.9298126955921,5.45059740112108,0.056232427366448,0.457393483709273
"covNPDmat",120,"omega_sparse","rmvnorm",30,11.2537620210005,6.82281740261955,0.0540456107466417,0.459899749373434
"covNPDmat",120,"omega_sparse","rmvnorm",31,11.1196090573509,7.70531569749463,0.0524835988753515,0.43734335839599
"covNPDmat",120,"omega_sparse","rmvnorm",32,11.0938071783595,6.90961893618462,0.0532646048109966,0.421052631578947
"covNPDmat",120,"omega_sparse","rmvnorm",33,10.7874084130693,6.9832926294093,0.0607622617931896,0.414786967418546
"covNPDmat",120,"omega_sparse","rmvnorm",34,11.3645127129224,6.61182356833332,0.0584192439862543,0.426065162907268
"covNPDmat",120,"omega_sparse","rmvnorm",35,11.2911838355261,7.12740694224695,0.0499843798812871,0.451127819548872
"covNPDmat",120,"omega_sparse","rmvnorm",36,10.6700281726954,7.69238536021474,0.0510777881911903,0.461152882205514
"covNPDmat",120,"omega_sparse","rmvnorm",37,11.4416242807715,5.73148516848854,0.0582630427991253,0.433583959899749
"covNPDmat",120,"omega_sparse","rmvnorm",38,11.0984535422161,6.01309902335977,0.0557638238050609,0.429824561403509
"covNPDmat",120,"omega_sparse","rmvnorm",39,11.102493180341,6.28270746965871,0.0520149953139644,0.421052631578947
"covNPDmat",120,"omega_sparse","rmvnorm",40,10.9025504569476,7.71396801979391,0.0532646048109966,0.448621553884712
"covNPDmat",120,"omega_sparse","rmvnorm",41,11.105333444509,7.86170648778272,0.0518587941268354,0.459899749373434
"covNPDmat",120,"omega_sparse","rmvnorm",42,11.5729899850441,7.17288710871197,0.0484223680099969,0.458646616541353
"covNPDmat",120,"omega_sparse","rmvnorm",43,11.1053186581333,7.8117362005075,0.0551390190565448,0.419799498746867
"covNPDmat",120,"omega_sparse","rmvnorm",44,11.0726242619825,6.32665811644205,0.0507653858169322,0.459899749373434
"covNPDmat",120,"omega_sparse","rmvnorm",45,11.0546592015599,7.14686397057745,0.0559200249921899,0.428571428571429
"covNPDmat",120,"omega_sparse","rmvnorm",46,10.9398344946884,7.43022488823563,0.0531084036238675,0.443609022556391
"covNPDmat",120,"omega_sparse","rmvnorm",47,11.0155533168886,8.23523029308406,0.0554514214308029,0.426065162907268
"covNPDmat",120,"omega_sparse","rmvnorm",48,10.9345987989243,9.00518065760066,0.0502967822555451,0.458646616541353
"covNPDmat",120,"omega_sparse","rmvnorm",49,11.4529035283957,6.13000316706546,0.0567010309278351,0.428571428571429
"covNPDmat",120,"omega_sparse","rmvnorm",50,11.1125286300189,5.41735522432865,0.0523273976882224,0.432330827067669
"covNPDmat",120,"omega_sparse","rmvnorm",51,11.1357256871774,5.29366201189565,0.0585754451733833,0.43734335839599
"covNPDmat",120,"omega_sparse","rmvnorm",52,11.1982365025748,5.05273755644923,0.0559200249921899,0.43734335839599
"covNPDmat",120,"omega_sparse","rmvnorm",53,10.8057246960039,6.09855254117948,0.056232427366448,0.43483709273183
"covNPDmat",120,"omega_sparse","rmvnorm",54,11.3409133918447,6.74687211268391,0.0531084036238675,0.426065162907268
"covNPDmat",120,"omega_sparse","rmvnorm",55,11.4113849533601,6.1796013419659,0.0574820368634802,0.43859649122807
"covNPDmat",120,"omega_sparse","rmvnorm",56,10.875118016574,5.48862670811771,0.0654482974070603,0.423558897243108
"covNPDmat",120,"omega_sparse","rmvnorm",57,10.9750437772925,6.45899801181312,0.0609184629803187,0.458646616541353
"covNPDmat",120,"omega_sparse","rmvnorm",58,11.1137064292367,7.94408536681099,0.0504529834426742,0.467418546365915
"covNPDmat",120,"omega_sparse","rmvnorm",59,10.9573891037806,7.26141805846179,0.0590440487347704,0.43984962406015
"covNPDmat",120,"omega_sparse","rmvnorm",60,11.0385062751677,5.36499551282217,0.0552952202436739,0.427318295739348
"covNPDmat",120,"omega_sparse","rmvnorm",61,11.5378306215161,7.21967426668124,0.0545142143080287,0.461152882205514
"covNPDmat",120,"omega_sparse","rmvnorm",62,11.2128437278326,5.59386086030863,0.0604498594189316,0.428571428571429
"covNPDmat",120,"omega_sparse","rmvnorm",63,11.2301074189329,7.09268862133381,0.0537332083723836,0.454887218045113
"covNPDmat",120,"omega_sparse","rmvnorm",64,10.8928653268813,5.55770411449119,0.0577944392377382,0.444862155388471
"covNPDmat",120,"omega_sparse","rmvnorm",65,10.9703332141224,6.24177750960951,0.0540456107466417,0.458646616541353
"covNPDmat",120,"omega_sparse","rmvnorm",66,10.9230447897702,6.8555881556022,0.0648234926585442,0.427318295739348
"covNPDmat",120,"omega_sparse","rmvnorm",67,10.9739541243142,5.68974546992407,0.0540456107466417,0.441102756892231
"covNPDmat",120,"omega_sparse","rmvnorm",68,11.4205176774588,6.28243152205406,0.0582630427991253,0.433583959899749
"covNPDmat",120,"omega_sparse","rmvnorm",69,11.0386910980017,6.94477709178586,0.0557638238050609,0.403508771929825
"covNPDmat",120,"omega_sparse","rmvnorm",70,10.7722889516273,6.24438358660777,0.0487347703842549,0.417293233082707
"covNPDmat",120,"omega_sparse","rmvnorm",71,11.2082914603603,5.63583957577935,0.0568572321149641,0.452380952380952
"covNPDmat",120,"omega_sparse","rmvnorm",72,10.9073905618295,6.76127794821706,0.0546704154951578,0.442355889724311
"covNPDmat",120,"omega_sparse","rmvnorm",73,11.1193376756234,7.5160256277569,0.0513901905654483,0.464912280701754
"covNPDmat",120,"omega_sparse","rmvnorm",74,11.1746909978737,7.50617265312909,0.0551390190565448,0.408521303258145
"covNPDmat",120,"omega_sparse","rmvnorm",75,11.0198227199354,6.65832322239079,0.0590440487347704,0.424812030075188
"covNPDmat",120,"omega_sparse","rmvnorm",76,11.6260143470118,6.68371338572193,0.0518587941268354,0.459899749373434
"covNPDmat",120,"omega_sparse","rmvnorm",77,10.8993881982195,7.09818364795604,0.0581068416119963,0.433583959899749
"covNPDmat",120,"omega_sparse","rmvnorm",78,11.0775909343175,7.47839601264202,0.0588878475476414,0.423558897243108
"covNPDmat",120,"omega_sparse","rmvnorm",79,11.5728120969147,6.50272845664704,0.056544829740706,0.423558897243108
"covNPDmat",120,"omega_sparse","rmvnorm",80,10.9428164776317,7.70666461288754,0.0534208059981256,0.452380952380952
"covNPDmat",120,"omega_sparse","rmvnorm",81,11.0119524586843,7.04971515681947,0.0620118712902218,0.413533834586466
"covNPDmat",120,"omega_sparse","rmvnorm",82,10.9976661440268,5.39309260389016,0.0665417057169635,0.442355889724311
"covNPDmat",120,"omega_sparse","rmvnorm",83,10.9552558096109,7.38200700611548,0.0602936582318026,0.446115288220551
"covNPDmat",120,"omega_sparse","rmvnorm",84,10.8382928807803,5.12605314777517,0.056076226179319,0.446115288220551
"covNPDmat",120,"omega_sparse","rmvnorm",85,10.9071396734651,5.92881661212124,0.0549828178694158,0.462406015037594
"covNPDmat",120,"omega_sparse","rmvnorm",86,10.956978180854,8.63061314329607,0.0527960012496095,0.441102756892231
"covNPDmat",120,"omega_sparse","rmvnorm",87,11.5864847654161,5.71997457435126,0.056388628553577,0.421052631578947
"covNPDmat",120,"omega_sparse","rmvnorm",88,11.5765591331222,7.25218560231914,0.0510777881911903,0.466165413533835
"covNPDmat",120,"omega_sparse","rmvnorm",89,10.9734197126576,7.33613396370912,0.0509215870040612,0.472431077694236
