"cov_measure","p","graph","distribution","rep","norm_Omega","norm_Sigma","FP","FN"
"covOGKmat",120,"omega_sparse","rmvnorm",1,12.8095494272412,6.55164166448305,0.107020813917366,0.528871391076115
"covOGKmat",120,"omega_sparse","rmvnorm",2,12.5193033191194,7.79939384584415,0.124728176452314,0.494750656167979
"covOGKmat",120,"omega_sparse","rmvnorm",3,13.2925571150277,7.95169701207281,0.119136377757067,0.523622047244094
"covOGKmat",120,"omega_sparse","rmvnorm",4,12.4873649172383,7.79285900638032,0.108729419074247,0.520997375328084
"covOGKmat",120,"omega_sparse","rmvnorm",5,12.971558535431,7.59140343817495,0.114631873252563,0.501312335958005
"covOGKmat",120,"omega_sparse","rmvnorm",6,12.6525487863746,9.26682400451159,0.10748679714197,0.518372703412074
"covOGKmat",120,"omega_sparse","rmvnorm",7,12.7766946757183,7.16941603995593,0.119757688723206,0.510498687664042
"covOGKmat",120,"omega_sparse","rmvnorm",8,13.0816638144848,9.31326135404204,0.109350730040385,0.505249343832021
"covOGKmat",120,"omega_sparse","rmvnorm",9,12.871611260906,6.28854083778653,0.109195402298851,0.519685039370079
"covOGKmat",120,"omega_sparse","rmvnorm",10,13.161565684273,5.95295439557431,0.116495806150979,0.532808398950131
"covOGKmat",120,"omega_sparse","rmvnorm",11,12.2820862337962,7.88500425636089,0.11152531842187,0.518372703412074
"covOGKmat",120,"omega_sparse","rmvnorm",12,13.0386960150054,7.90035063551398,0.107331469400435,0.528871391076115
"covOGKmat",120,"omega_sparse","rmvnorm",13,13.2791956551803,6.39769705062897,0.111214662938801,0.539370078740158
"covOGKmat",120,"omega_sparse","rmvnorm",14,12.8598134916606,6.39497853403879,0.112612612612613,0.545931758530184
"covOGKmat",120,"omega_sparse","rmvnorm",15,13.0504411423458,6.61061545427072,0.117117117117117,0.506561679790026
"covOGKmat",120,"omega_sparse","rmvnorm",16,13.022737536781,8.49756769994522,0.117427772600186,0.503937007874016
"covOGKmat",120,"omega_sparse","rmvnorm",17,12.6873438375968,8.2278059777359,0.104380242311277,0.543307086614173
"covOGKmat",120,"omega_sparse","rmvnorm",18,12.9699486224772,8.64171158234256,0.110748679714197,0.503937007874016
"covOGKmat",120,"omega_sparse","rmvnorm",19,12.624514903746,6.45719886677918,0.111059335197266,0.5
"covOGKmat",120,"omega_sparse","rmvnorm",20,12.9694379116562,8.67297166559627,0.123951537744641,0.497375328083989
"covOGKmat",120,"omega_sparse","rmvnorm",21,12.5032960763258,9.35926269969534,0.106244175209692,0.50262467191601
"covOGKmat",120,"omega_sparse","rmvnorm",22,13.4017865470435,6.78965581787651,0.124106865486176,0.501312335958005
"covOGKmat",120,"omega_sparse","rmvnorm",23,12.6620799201175,8.05695471758618,0.104535570052811,0.536745406824147
"covOGKmat",120,"omega_sparse","rmvnorm",24,12.5023991084577,6.33997515679175,0.120534327430879,0.532808398950131
"covOGKmat",120,"omega_sparse","rmvnorm",25,13.6028835462298,6.75751107782865,0.125194159676918,0.490813648293963
"covOGKmat",120,"omega_sparse","rmvnorm",26,13.0088032626117,7.42712575076676,0.121932277104691,0.507874015748031
"covOGKmat",120,"omega_sparse","rmvnorm",27,13.0641057162427,7.71700516553555,0.114165890027959,0.517060367454068
